补助资金	=总数=49=政府补贴49|
  有限公司股东权益	=总数=19=股份减持7|增发5|兼并收购7|
 有限公司购买	=总数=5=增发4|股份增持1|
 有限公司关联	=总数=18=未分类2|股份减持1|关联交易16|
  有限公司关联交易	=总数=15=关联交易15|
 有限公司转让	=总数=19=合同签订1|股份减持18|
  有限公司转让评估	=总数=6=股份减持6|
  有限公司股权转让	=总数=5=股份减持5|
  有限责任公司转让	=总数=6=股份减持6|
  子公司有限公司转让	=总数=5=股份减持5|
 有限公司涉及	=总数=16=未分类2|股份减持8|关联交易3|兼并收购3|
  有限公司股权涉及	=总数=9=股份减持6|兼并收购3|
 资金有限公司	=总数=19=未分类1|兼并收购17|股份增持1|
  资金收购有限公司	=总数=18=兼并收购18|
 增资有限公司	=总数=11=未分类1|股份减持1|关联交易2|兼并收购6|担保事项1|股份增持1|
  增资股份有限公司	=总数=8=股份减持1|关联交易2|兼并收购5|
 汽车有限公司	=总数=8=合同签订1|股份减持5|兼并收购1|业绩发布2|
  汽车有限公司股权	=总数=6=合同签订1|股份减持5|兼并收购1|
 有限公司项目	=总数=39=未分类3|合同签订1|股份减持12|政府补贴1|增发7|兼并收购14|股份增持1|
  收购有限公司项目	=总数=7=兼并收购6|股份增持1|
   收购有限公司项目报告	=总数=5=兼并收购5|
  有限公司股权项目	=总数=26=股份减持9|增发5|兼并收购11|股份增持1|
  有限责任公司项目评估	=总数=7=股份减持3|增发3|兼并收购1|
 转让有限公司	=总数=26=股份减持25|兼并收购1|股份增持1|
  转让投资有限公司	=总数=6=股份减持6|
  转让子公司有限公司股权	=总数=5=股份减持5|
 管理有限公司	=总数=7=未分类1|合同签订3|股份减持1|关联交易1|增发1|担保事项1|
 能源有限公司	=总数=11=未分类1|合同签订1|股份减持1|关联交易1|增发1|预增1|担保事项5|
 制造有限公司	=总数=5=股份减持1|关联交易1|兼并收购3|
 有限公司公司	=总数=9=未分类1|股份减持3|关联交易2|股份增持3|
 经营有限公司	=总数=5=股份减持3|增发1|股份增持1|
 有限公司股票	=总数=9=未分类1|首发1|关联交易1|增发6|股份增持1|
  有限公司非公开发行股票	=总数=6=关联交易1|增发6|
 有限公司收购	=总数=16=兼并收购14|股份增持2|
 北方有限公司	=总数=6=合同签订3|股份减持1|关联交易1|兼并收购2|
 有限公司发行	=总数=12=未分类1|关联交易2|增发7|兼并收购4|
  股份有限公司发行	=总数=6=未分类1|增发2|兼并收购4|
  有限公司非公开发行	=总数=7=未分类1|关联交易1|增发6|
 置业有限公司	=总数=14=未分类1|股份减持6|违规违纪1|诉讼仲裁1|关联交易2|业绩发布1|担保事项4|
 有限公司有关	=总数=5=诉讼仲裁3|兼并收购2|
 软件有限公司	=总数=6=合同签订1|股份减持2|兼并收购1|担保事项2|
 有限公司担保	=总数=31=关联交易4|担保事项31|
 有限公司报告	=总数=77=未分类5|股份减持12|预减2|增发10|兼并收购22|业绩发布17|预增9|股份增持1|
  有限公司审核报告	=总数=12=未分类1|预减2|兼并收购1|业绩发布1|预增8|
  有限责任公司报告	=总数=17=股份减持5|预减1|增发5|兼并收购1|业绩发布3|预增2|
  有限公司股权报告	=总数=24=股份减持7|增发5|兼并收购11|股份增持1|
  投资有限公司评估报告	=总数=8=未分类1|兼并收购6|股份增持1|
