补助资金	=总数=49=政府补贴49|
购买涉及	=总数=18=增发14|关联交易4|兼并收购1|
 购买资产涉及	=总数=20=增发16|关联交易4|
独立意见	=总数=1769=未分类318|高管变动537|违规违纪1|股权激励153|资产重组26|业绩发布17|回购15|债券发行5|合同签订34|股份减持30|政府补贴1|关联交易377|增发147|兼并收购70|股份增持13|担保事项245|
 之独立意见	=总数=70=回购1|未分类4|合同签订2|股权激励1|关联交易19|增发51|资产重组10|兼并收购6|
  公司之独立意见	=总数=19=未分类1|关联交易1|增发14|资产重组5|兼并收购2|
  资产之独立意见	=总数=19=增发16|资产重组3|
 及独立意见	=总数=48=未分类2|高管变动4|关联交易13|增发7|业绩发布1|担保事项27|
 和独立意见	=总数=31=未分类2|合同签订3|股份减持2|增发2|关联交易15|资产重组5|兼并收购3|担保事项9|股份增持1|
  认可和独立意见	=总数=16=未分类2|合同签订3|股份减持1|增发1|关联交易11|股份增持1|
 独立意见等	=总数=6=未分类1|高管变动4|关联交易1|
 认可独立意见	=总数=31=未分类2|合同签订4|高管变动1|股份减持1|增发1|关联交易21|兼并收购2|股份增持1|担保事项3|
 情况独立意见	=总数=18=增发13|关联交易6|资产重组2|兼并收购1|
  公司情况独立意见	=总数=5=关联交易1|增发4|
 公司独立意见	=总数=25=未分类2|高管变动3|关联交易3|增发14|资产重组5|兼并收购2|
 专项说明独立意见	=总数=34=未分类1|股份减持1|高管变动2|关联交易5|担保事项33|
 独立董事认可意见	=总数=18=未分类2|股份减持1|增发1|关联交易15|兼并收购3|
本次股票	=总数=35=未分类2|股权激励5|关联交易1|增发28|
 本次股票计划	=总数=5=股权激励4|增发1|
方式收购	=总数=5=兼并收购5|股份增持1|
股份业绩	=总数=6=未分类1|预减1|业绩发布1|兼并收购2|预增2|
新增上市	=总数=30=股权激励1|配股1|关联交易2|增发28|
 新增上市书	=总数=27=配股1|关联交易1|增发26|
子公司新	=总数=11=未分类2|合同签订1|股份减持3|兼并收购1|担保事项4|
 控股子公司新	=总数=9=未分类1|合同签订1|股份减持3|担保事项4|
增持股票	=总数=17=违规违纪1|股份增持17|
相关担保	=总数=6=担保事项6|
收到政府	=总数=80=获得奖项1|政府补贴79|
 子公司收到政府	=总数=26=政府补贴26|
股票发行	=总数=233=未分类2|首发22|关联交易8|增发209|资产重组4|
 之股票发行	=总数=17=增发17|关联交易4|资产重组3|
控股贷款	=总数=28=关联交易14|担保事项14|
 向控股委托贷款	=总数=13=关联交易13|
 控股子公司贷款担保	=总数=14=担保事项14|
债务融资	=总数=19=债券发行16|未分类2|增发1|
 定向债务融资工具	=总数=10=债券发行9|增发1|
子公司收	=总数=8=未分类1|合同签订2|政府补贴1|关联交易2|资产重组1|兼并收购2|质押1|
 控股子公司收	=总数=30=未分类1|合同签订1|政府补贴16|诉讼仲裁2|关联交易2|资产重组1|兼并收购10|股份增持1|
签订投资	=总数=27=合同签订27|
收购公告	=总数=52=未分类7|合同签订2|关联交易2|兼并收购44|股份增持1|
 收购之公告	=总数=5=关联交易1|兼并收购5|
及之补充	=总数=10=未分类1|合同签订2|增发7|
签订采购	=总数=6=合同签订6|
销售合同	=总数=9=合同签订9|
计划草案	=总数=10=未分类1|股权激励9|
整改情况	=总数=26=违规违纪25|担保事项1|
 被整改情况	=总数=16=违规违纪16|
 处罚及整改情况	=总数=14=违规违纪14|
 部门及整改情况	=总数=7=违规违纪7|
及股份之	=总数=20=关联交易1|增发19|资产重组1|兼并收购1|股份增持1|
股说明书	=总数=17=首发15|配股2|
股份补充	=总数=16=未分类1|合同签订6|股份减持1|增发11|股份增持1|
 股份之补充	=总数=12=合同签订3|股份减持1|增发11|股份增持1|
发行投资	=总数=9=债券发行1|未分类1|首发5|增发2|
 公开发行投资	=总数=8=未分类1|首发5|增发2|
项目涉及	=总数=27=股份减持11|增发4|兼并收购12|股份增持1|
 拟项目涉及	=总数=14=股份减持5|兼并收购8|股份增持1|
重组核查	=总数=6=关联交易1|增发2|资产重组6|业绩发布1|
股份相关	=总数=15=未分类2|合同签订1|股份减持2|增发9|资产重组1|股份增持3|
收到申请	=总数=19=债券发行3|未分类1|关联交易4|增发12|资产重组3|兼并收购1|
仲裁公告	=总数=12=诉讼仲裁12|
事项相关	=总数=5=增发2|资产重组2|担保事项1|
子公司持	=总数=14=未分类1|股份减持4|关联交易6|资产重组1|兼并收购3|股份增持1|
 子公司所持	=总数=12=股份减持4|关联交易6|资产重组1|兼并收购3|
 公司子公司持	=总数=7=股份减持3|关联交易4|
 全资子公司持	=总数=8=股份减持1|关联交易6|兼并收购2|股份增持1|
监事公告	=总数=32=高管变动32|
股东发行	=总数=6=首发1|未分类1|股份减持1|增发4|关联交易3|股份增持1|
委托关联	=总数=12=合同签订1|关联交易12|
 委托贷款关联	=总数=11=关联交易11|
公司受让	=总数=13=股份减持1|兼并收购1|股份增持11|
战略协议	=总数=81=合同签订81|股份减持1|
 子公司战略协议	=总数=5=合同签订5|
申请担保	=总数=52=担保事项52|
股票波动	=总数=398=未分类1|交易异动395|增发1|资产重组2|
 公司股票波动	=总数=5=交易异动3|增发1|资产重组1|
预测实现	=总数=14=未分类2|增发2|关联交易2|资产重组5|业绩发布5|兼并收购1|预增1|
经营简报	=总数=8=业绩发布8|
计划股份	=总数=10=股权激励5|股份增持5|
 计划增持股份	=总数=5=股份增持5|
回购注销	=总数=58=回购58|股权激励12|
公司战略	=总数=12=未分类1|合同签订9|增发2|关联交易2|
股权划转	=总数=6=股份减持2|诉讼仲裁1|资产重组1|兼并收购2|股份增持2|
转让公开	=总数=5=股份减持5|
持有质押	=总数=12=回购1|质押12|
国有股份	=总数=6=未分类1|合同签订1|股份减持3|兼并收购1|股份增持3|
海天味业	=总数=11=首发10|未分类1|
 海天味业公告	=总数=6=首发6|
公司所涉	=总数=28=未分类3|股份减持8|股权激励6|关联交易3|增发2|兼并收购9|
将转让给	=总数=7=股份减持7|
上市之书	=总数=22=首发22|
公司与之	=总数=28=未分类2|合同签订14|股权激励12|增发9|股份增持7|
公司管理	=总数=177=未分类25|合同签订4|股份减持1|高管变动143|增发1|关联交易1|资产重组1|担保事项1|股份增持2|
 公司管理人员	=总数=143=未分类2|股份减持1|高管变动138|关联交易1|资产重组1|股份增持1|
经营数据	=总数=7=业绩发布7|
投资协议	=总数=32=合同签订32|
公司服务	=总数=12=未分类1|合同签订4|关联交易8|兼并收购1|
票据发行	=总数=5=债券发行5|
经营协议	=总数=18=合同签订17|股份减持1|关联交易2|兼并收购1|
 特许经营协议	=总数=10=合同签订10|
先生公司	=总数=21=高管变动20|股份增持1|
 先生为公司	=总数=9=高管变动9|
 先生公司副	=总数=5=高管变动5|
金公司增	=总数=9=关联交易2|兼并收购1|股份增持4|担保事项2|
调整首次	=总数=10=未分类1|股权激励9|
 调整及首次	=总数=8=股权激励8|
股票事项	=总数=177=回购3|首发1|未分类2|股权激励117|交易异动13|关联交易6|诉讼仲裁1|增发40|资产重组1|
 向股票事项	=总数=10=股权激励8|交易异动1|诉讼仲裁1|
 股票及事项	=总数=16=股权激励14|增发2|关联交易1|
 股股票事项	=总数=10=股权激励3|增发7|关联交易1|
 所股票事项	=总数=11=股权激励10|诉讼仲裁1|
 股票事项牌	=总数=15=交易异动12|增发3|
 股票等事项	=总数=8=股权激励5|增发2|资产重组1|
 股票事项之	=总数=9=未分类1|股权激励8|
 股票期权事项	=总数=53=股权激励53|
 公司股票事项	=总数=97=回购2|未分类1|股权激励78|交易异动1|诉讼仲裁1|关联交易4|增发14|资产重组1|
 限制性股票事项	=总数=70=回购3|股权激励68|
许可项目	=总数=6=未分类1|增发5|关联交易5|资产重组1|
终止实施	=总数=11=回购1|未分类1|股权激励6|增发3|
股东解押	=总数=6=质押6|
资产业务	=总数=6=合同签订1|股份减持2|关联交易3|兼并收购1|
调整预计	=总数=35=关联交易33|担保事项2|
股东股份	=总数=626=未分类11|诉讼仲裁2|质押152|回购5|大宗交易26|首发1|合同签订2|股份减持334|配股2|增发3|关联交易2|兼并收购2|担保事项1|股份增持124|
 股东诚股份	=总数=6=质押5|股份增持1|
 股东拟股份	=总数=22=首发1|大宗交易2|股份减持17|关联交易1|增发1|股份增持4|
 股东股份及	=总数=19=回购1|诉讼仲裁1|质押17|股份增持1|
 股东及股份	=总数=14=回购1|股份减持3|增发1|质押2|股份增持8|
 大股东股份	=总数=27=大宗交易1|股份减持6|质押11|股份增持10|
  大股东股份质押	=总数=11=质押11|
 股东持股份	=总数=442=未分类2|大宗交易20|股份减持300|诉讼仲裁1|质押25|担保事项1|股份增持114|
 股东人股份	=总数=70=大宗交易1|未分类1|股份减持41|质押1|股份增持27|
  股东一致行动人股份	=总数=23=股份减持7|质押1|股份增持15|
 股东股份解	=总数=7=质押7|
 股东股份被	=总数=7=未分类1|诉讼仲裁1|质押5|
  股东股份被质押	=总数=5=质押5|
 股东股份持	=总数=30=未分类1|大宗交易2|股份减持27|诉讼仲裁1|股份增持1|
 股东股份登记	=总数=8=未分类1|合同签订1|股份减持3|质押3|股份增持2|
 持股股东股份	=总数=5=大宗交易4|股份减持5|
开发协议	=总数=10=合同签订10|
股东质押	=总数=583=回购81|合同签订2|质押582|担保事项1|股份增持1|
 股东解质押	=总数=7=质押7|
 大股东质押	=总数=37=回购2|质押37|股份增持1|
  大股东及质押	=总数=5=质押5|股份增持1|
  公司大股东质押	=总数=12=质押12|
 股东及质押	=总数=62=回购6|质押62|股份增持1|
  控股股东及质押	=总数=27=回购3|质押27|
 股东解押质押	=总数=12=回购1|质押12|
 股东进行质押	=总数=60=回购59|质押59|
 控股股东质押	=总数=281=回购49|合同签订2|质押280|担保事项1|
 股东公司质押	=总数=21=质押21|
 股东股权质押	=总数=333=回购4|质押333|股份增持1|
  股东股权和质押	=总数=10=回购1|质押10|
 股东质押部分	=总数=6=回购1|质押6|
部分辞职	=总数=6=高管变动6|
配股股票	=总数=7=配股7|增发3|
购买结果	=总数=6=合同签订1|增发5|兼并收购1|股份增持1|
诉讼判决	=总数=7=诉讼仲裁7|
为在申请	=总数=7=担保事项7|
为本公司	=总数=6=关联交易4|担保事项2|
获得补助	=总数=85=政府补贴85|
回购股份	=总数=48=回购44|未分类2|股权激励1|质押1|兼并收购2|股份增持3|
 回购及股份	=总数=5=回购5|质押1|
 回购社会公众股份	=总数=25=回购25|
签署转让	=总数=6=合同签订6|股份减持3|兼并收购1|股份增持4|
股票进展	=总数=7=未分类1|交易异动3|增发3|资产重组1|
公开公告	=总数=179=债券发行15|未分类31|首发88|股权激励2|关联交易3|增发44|资产重组1|
 公开股公告	=总数=52=未分类9|首发24|关联交易1|增发20|资产重组1|
  公开股网上公告	=总数=13=首发11|增发2|
   公开发行股网上公告	=总数=11=首发11|
  公开发行股结果公告	=总数=8=首发8|
 公开发行公告	=总数=175=债券发行15|未分类31|首发88|关联交易3|增发42|资产重组1|
  非公开发行公告	=总数=44=债券发行1|未分类7|关联交易3|增发35|资产重组1|
  公开发行网上公告	=总数=33=债券发行2|首发31|
  公开发行结果公告	=总数=28=债券发行1|首发26|增发1|
  公开发行情况公告	=总数=13=债券发行1|首发10|增发2|
  公开发行限售提示性公告	=总数=16=未分类3|增发13|
 公开网上公告	=总数=20=债券发行1|首发18|增发1|
收购资产	=总数=100=未分类1|关联交易9|兼并收购98|股份增持1|
 拟收购资产	=总数=47=兼并收购46|股份增持1|
 收购资产及	=总数=6=关联交易1|兼并收购6|
 收购及资产	=总数=9=兼并收购9|
 收购资产项目	=总数=13=未分类1|兼并收购12|
 公司收购资产	=总数=17=关联交易2|兼并收购16|股份增持1|
 子公司收购资产	=总数=12=兼并收购12|
资产延期	=总数=70=增发10|资产重组60|
公司发表	=总数=22=未分类2|高管变动8|股份减持2|关联交易4|业绩发布1|兼并收购3|担保事项8|
 公司事项发表	=总数=7=高管变动1|股份减持2|关联交易1|业绩发布1|兼并收购3|担保事项5|
公开公司	=总数=37=债券发行33|未分类2|股份减持1|增发3|
收购财务	=总数=6=兼并收购6|
子公司常	=总数=19=合同签订3|关联交易16|
 子公司常关联交易	=总数=16=关联交易16|
公司发行	=总数=487=债券发行40|首发54|未分类20|合同签订2|增发370|关联交易76|资产重组21|兼并收购10|股份增持1|
 公司向发行	=总数=19=未分类1|增发18|关联交易10|资产重组2|
 公司以发行	=总数=12=未分类1|关联交易1|增发11|
 公司发行及	=总数=117=未分类1|关联交易28|增发115|资产重组6|兼并收购5|
 公司发行合	=总数=27=关联交易3|增发27|兼并收购3|
 公司发行之	=总数=59=首发7|合同签订2|增发52|
 对公司发行	=总数=6=首发1|关联交易1|增发5|
 公司和发行	=总数=5=关联交易2|增发5|
 公司发行股	=总数=419=未分类20|首发40|合同签订2|增发359|关联交易74|资产重组21|兼并收购6|股份增持1|
 公司及发行	=总数=67=未分类1|关联交易16|增发66|资产重组9|兼并收购2|
 公司发行股票	=总数=157=首发37|未分类7|关联交易10|增发113|股份增持1|
 公司对象发行	=总数=20=未分类1|合同签订2|增发19|关联交易9|资产重组2|
 公司发行公告	=总数=10=债券发行5|首发2|增发3|
 公司发行相关	=总数=9=首发1|未分类1|增发7|
  公司发行相关事项	=总数=7=未分类1|增发6|
 公司发行情况	=总数=13=增发13|关联交易1|兼并收购1|
 公司发行事项	=总数=23=未分类1|关联交易4|增发22|
 公司发行上市保荐书	=总数=20=首发3|增发17|
期权行权	=总数=84=回购2|股权激励82|
 股票期权行权期	=总数=59=股权激励59|
放弃优先	=总数=14=未分类1|增发5|关联交易2|股份增持6|
 放弃优先受让	=总数=6=股份增持6|
 放弃股权优先权	=总数=5=关联交易2|股份增持3|
控股股票	=总数=67=回购45|未分类2|合同签订2|配股2|诉讼仲裁1|增发1|关联交易1|质押58|股份增持3|
董事辞任	=总数=6=高管变动6|
发行情况	=总数=140=债券发行10|首发21|未分类3|关联交易2|增发106|资产重组2|兼并收购1|
 发行之情况	=总数=12=增发12|资产重组1|
 发行股情况	=总数=17=首发2|增发15|关联交易1|兼并收购1|
 公开发行情况	=总数=92=债券发行2|未分类1|首发10|关联交易1|增发79|资产重组1|
  非公开发行情况	=总数=77=关联交易1|增发77|资产重组1|
 发行情况公告	=总数=32=债券发行7|首发21|未分类1|增发3|资产重组1|
  发行情况及公告	=总数=23=首发21|增发2|
执行董事	=总数=10=未分类1|高管变动6|股权激励1|关联交易2|
 独立非执行董事	=总数=6=高管变动3|股权激励1|关联交易2|
申请意见	=总数=9=关联交易1|增发3|资产重组3|兼并收购3|
选举公司	=总数=17=高管变动17|
选举公告	=总数=9=高管变动9|
辞去公司	=总数=7=高管变动7|
情况计划	=总数=6=未分类1|关联交易5|
 关联交易情况计划	=总数=5=关联交易5|
配套方案	=总数=15=增发15|
提供额度	=总数=24=未分类1|关联交易1|担保事项22|
关联公告	=总数=481=未分类15|合同签订9|股份减持8|增发9|关联交易464|资产重组2|兼并收购10|担保事项6|股份增持3|
发行申请	=总数=139=债券发行28|首发3|增发109|
 发行申请获	=总数=10=债券发行2|增发8|
 发行申请核准	=总数=43=债券发行7|增发37|
 撤回发行申请	=总数=6=债券发行3|增发3|
 非公开发行申请	=总数=106=增发106|
部分股票	=总数=84=回购40|未分类1|股份减持5|股权激励22|增发2|质押4|兼并收购3|股份增持11|
 部分及股票	=总数=8=回购6|股权激励1|股份增持2|
 部分股票及	=总数=8=回购6|股权激励2|质押1|
 部分和股票	=总数=7=回购2|增发1|股份增持4|
 及部分股票	=总数=12=回购8|未分类1|股权激励3|股份增持1|
 公司部分股票	=总数=29=回购19|股份减持1|股权激励10|增发1|股份增持1|
 部分公司股票	=总数=14=股份减持1|兼并收购3|股份增持10|
 部分限制性股票	=总数=43=回购40|股权激励7|
国有经营	=总数=5=股份减持1|政府补贴3|股份增持1|
股份转让	=总数=17=未分类3|合同签订2|股份减持14|增发1|股份增持4|
授予期权	=总数=62=股权激励62|
签署协议	=总数=225=未分类31|合同签订194|股份减持2|政府补贴2|增发2|关联交易13|资产重组2|兼并收购5|担保事项2|股份增持3|
 与签署协议	=总数=69=合同签订69|股份减持1|增发2|关联交易6|资产重组1|股份增持1|
 签署协议书	=总数=7=合同签订7|
 签署补充协议	=总数=12=未分类2|合同签订10|增发2|资产重组2|
 子公司签署协议	=总数=29=未分类4|合同签订25|
 签署附生效协议	=总数=5=合同签订5|股份减持1|股份增持1|
收到专项	=总数=10=未分类1|合同签订1|政府补贴8|
权益变动	=总数=424=回购1|未分类7|大宗交易52|合同签订5|股份减持97|股权激励1|增发30|资产重组3|质押1|兼并收购264|股份增持56|
股票激励	=总数=848=回购4|股权激励848|
 股票激励和	=总数=5=股权激励5|
 股票激励及	=总数=23=股权激励23|
 股股票激励	=总数=35=股权激励35|
 股票权激励	=总数=10=股权激励10|
 对股票激励	=总数=25=股权激励25|
 股票计划激励	=总数=125=股权激励125|
 限制性股票激励之独立	=总数=23=股权激励23|
为子公司	=总数=65=回购1|未分类1|关联交易7|担保事项57|
 为子公司金融	=总数=5=关联交易2|担保事项3|
 为公司子公司	=总数=10=回购1|关联交易5|担保事项5|
 为子公司担保	=总数=41=担保事项41|
 为子公司额度	=总数=6=担保事项6|
 为子公司融资	=总数=26=回购1|担保事项26|
 为子公司银行	=总数=62=关联交易1|担保事项62|
 为子公司业务	=总数=5=回购1|担保事项5|
 为全资子公司	=总数=117=回购1|未分类1|合同签订1|关联交易4|担保事项114|
协议事项	=总数=8=合同签订8|关联交易1|资产重组1|
实施股票	=总数=17=股权激励12|增发5|
子公司对	=总数=21=未分类3|合同签订1|关联交易6|兼并收购1|担保事项10|股份增持1|
 公司子公司对	=总数=12=未分类1|合同签订1|关联交易1|兼并收购1|担保事项9|
 子公司对公司	=总数=5=合同签订1|关联交易4|
 控股子公司对	=总数=18=未分类2|合同签订1|股份增持1|担保事项14|
 全资子公司对	=总数=8=未分类1|合同签订1|关联交易4|兼并收购1|担保事项2|
企业协议	=总数=7=合同签订7|关联交易2|
披露报告	=总数=8=大宗交易1|未分类1|股份减持4|兼并收购3|
 披露报告书	=总数=7=大宗交易1|股份减持4|兼并收购3|
股份及书	=总数=10=配股4|增发9|
高管辞职	=总数=36=高管变动36|
变动公告	=总数=57=回购4|未分类1|股份减持1|高管变动1|配股4|关联交易2|增发45|资产重组1|兼并收购2|质押1|股份增持3|
合同进展	=总数=13=未分类1|合同签订12|诉讼仲裁1|
生产数据	=总数=5=业绩发布5|
关联交易	=总数=1530=未分类35|高管变动2|资产重组45|业绩发布1|回购1|首发1|合同签订34|股份减持15|关联交易1488|增发188|兼并收购34|股份增持7|担保事项13|
 关联交易获	=总数=7=增发5|关联交易6|兼并收购1|
 之关联交易	=总数=10=合同签订2|关联交易10|兼并收购3|
 与关联交易	=总数=76=未分类1|合同签订7|关联交易75|
  与常关联交易	=总数=26=关联交易26|
  子公司与关联交易	=总数=8=关联交易8|
 常关联交易	=总数=335=合同签订2|高管变动1|关联交易335|
  和常关联交易	=总数=6=关联交易6|
  常关联交易及	=总数=5=关联交易5|
  对常关联交易	=总数=6=关联交易6|
  常关联交易交易	=总数=6=关联交易6|
  补充常关联交易	=总数=5=关联交易5|
  关联常关联交易	=总数=6=关联交易6|
  常关联交易情况	=总数=20=关联交易20|
  常关联交易计划	=总数=5=关联交易5|
  常关联交易金额	=总数=28=关联交易28|
 向关联交易	=总数=5=关联交易5|
 及关联交易	=总数=59=未分类3|关联交易55|增发19|兼并收购2|担保事项1|
 关联交易性	=总数=6=增发3|关联交易6|资产重组1|
 性关联交易	=总数=11=关联交易11|
 关联交易标	=总数=12=关联交易12|增发12|资产重组4|
 非关联交易	=总数=24=未分类2|关联交易21|增发20|
 拟关联交易	=总数=10=关联交易10|
 增关联交易	=总数=20=关联交易20|
 关联交易及	=总数=13=增发2|关联交易13|资产重组1|股份增持1|
 对关联交易	=总数=64=未分类1|关联交易63|
 关联交易和	=总数=7=增发3|关联交易7|资产重组1|
 关联交易之	=总数=77=未分类1|合同签订1|增发58|关联交易76|资产重组18|兼并收购3|股份增持1|
  关联交易之情况	=总数=8=关联交易8|增发6|资产重组3|兼并收购1|
  关联交易之报告	=总数=16=未分类1|增发13|关联交易15|资产重组3|
  关联交易情况之	=总数=17=关联交易17|增发10|资产重组3|兼并收购1|股份增持1|
 关联交易书	=总数=49=未分类1|增发38|关联交易48|资产重组13|兼并收购1|
 和关联交易	=总数=8=高管变动1|关联交易8|
 本次关联交易	=总数=6=未分类1|增发4|关联交易5|
 财务关联交易	=总数=7=未分类1|关联交易6|
 关联关联交易	=总数=14=关联交易13|担保事项1|
  关联交易关联交易	=总数=6=关联交易6|
 租赁关联交易	=总数=6=关联交易6|
 关联交易实施	=总数=43=增发21|关联交易43|资产重组9|兼并收购3|股份增持2|
 关联交易相关	=总数=11=关联交易11|增发5|兼并收购2|
 资产关联交易	=总数=7=关联交易7|
 关联交易预案	=总数=17=增发17|关联交易17|资产重组3|兼并收购2|
 关联交易交易	=总数=11=增发1|关联交易11|兼并收购1|
 关联交易事前	=总数=24=增发1|关联交易24|资产重组1|
 关联交易事宜	=总数=9=关联交易8|增发4|兼并收购1|
 股东关联交易	=总数=8=关联交易8|兼并收购1|
 关联交易金额	=总数=29=关联交易28|业绩发布1|
 关联交易额度	=总数=19=关联交易19|
 控股关联交易	=总数=26=关联交易26|兼并收购3|
  控股涉及关联交易	=总数=5=关联交易5|
 股份关联交易	=总数=5=合同签订1|关联交易5|
 关联交易认可	=总数=23=增发1|关联交易23|资产重组1|
 关联交易董事	=总数=7=关联交易7|
 关联交易核查	=总数=29=关联交易29|增发18|资产重组4|兼并收购2|股份增持1|
 关联交易发表	=总数=12=关联交易12|兼并收购1|
 调整关联交易	=总数=16=关联交易16|
 关联交易情况	=总数=73=增发25|关联交易72|资产重组11|兼并收购3|担保事项1|股份增持2|
  关联交易执行情况	=总数=5=关联交易5|
 关联交易调整	=总数=6=增发2|关联交易6|
 涉及关联交易	=总数=44=未分类3|关联交易40|增发19|兼并收购2|
  会议涉及关联交易	=总数=5=关联交易5|
 增资关联交易	=总数=7=关联交易7|
 持续关联交易	=总数=6=关联交易6|
 增加关联交易	=总数=16=关联交易16|
 执行关联交易	=总数=5=关联交易5|
 公开关联交易	=总数=24=未分类2|关联交易21|增发20|
 协议关联交易	=总数=5=合同签订5|关联交易5|
 关联交易摘要	=总数=16=增发14|关联交易16|资产重组5|
 新增关联交易	=总数=16=关联交易16|
 关联交易预计	=总数=130=关联交易130|
 董事会关联交易	=总数=14=未分类1|关联交易13|
 子公司关联交易	=总数=38=关联交易38|兼并收购2|
  全资子公司关联交易	=总数=11=关联交易11|
 独立董事关联交易	=总数=48=关联交易48|
股份及之	=总数=6=增发5|兼并收购1|
聘任人员	=总数=173=未分类1|高管变动172|
 对聘任人员	=总数=12=高管变动12|
关联资产	=总数=21=增发8|关联交易21|资产重组7|
 关联方资产	=总数=8=关联交易8|
股东借款	=总数=44=未分类2|关联交易39|担保事项6|
 向股东借款	=总数=30=关联交易30|
关联财务	=总数=32=增发21|关联交易32|资产重组5|兼并收购2|
 关联方财务	=总数=5=关联交易5|
激励获得	=总数=24=股权激励24|
及之核查	=总数=12=未分类1|关联交易2|增发9|资产重组1|业绩发布1|股份增持1|
担保事宜	=总数=7=担保事项7|
控股交易	=总数=80=回购45|债券发行1|未分类4|合同签订3|股份减持4|关联交易25|兼并收购5|质押44|股份增持1|
 控股股东交易	=总数=60=回购45|未分类4|合同签订3|股份减持3|关联交易7|兼并收购3|质押44|股份增持1|
  控股股东购交易	=总数=39=回购34|未分类3|合同签订3|股份减持2|兼并收购1|质押33|
  控股股东及交易	=总数=6=回购3|关联交易3|质押3|
 控股子公司交易	=总数=26=债券发行1|股份减持1|关联交易24|兼并收购2|
经营公司	=总数=7=合同签订1|股份减持4|增发1|股份增持1|
股东及股	=总数=27=回购4|合同签订2|股份减持6|股权激励1|诉讼仲裁2|增发1|质押9|担保事项1|股份增持9|
公司权及	=总数=6=合同签订1|股份减持1|股权激励4|兼并收购1|
以及资产	=总数=10=关联交易1|增发9|兼并收购1|
股东重新	=总数=7=合同签订1|增发1|关联交易1|资产重组1|质押6|股份增持1|
重要合同	=总数=5=合同签订5|
公司保荐	=总数=55=未分类5|首发29|配股3|关联交易1|增发18|
 公司保荐书	=总数=51=未分类3|首发28|配股3|增发18|
合作经营	=总数=5=合同签订4|股份减持1|关联交易1|资产重组1|兼并收购1|
购买情况	=总数=37=未分类7|合同签订2|增发25|关联交易1|资产重组4|兼并收购2|
管理协议	=总数=11=合同签订11|关联交易3|
本公司股	=总数=68=未分类9|违规违纪1|股权激励3|交易异动1|诉讼仲裁2|质押14|回购1|股份减持5|配股1|关联交易1|增发2|兼并收购1|股份增持29|
本次交易	=总数=12=未分类1|股份减持2|增发5|关联交易6|资产重组4|兼并收购3|
交易说明	=总数=6=合同签订1|增发2|关联交易5|资产重组1|
转让股东	=总数=24=股份减持22|诉讼仲裁1|兼并收购1|
调整控股	=总数=5=关联交易2|担保事项3|
监管监管	=总数=38=未分类1|合同签订1|违规违纪36|
 监管和监管	=总数=32=合同签订1|违规违纪31|
部分部分	=总数=14=回购8|未分类1|高管变动1|股份减持1|股权激励2|兼并收购2|
 部分及部分	=总数=9=回购6|未分类1|高管变动1|股权激励2|
公司签署	=总数=38=未分类2|合同签订35|增发2|关联交易8|兼并收购1|
 公司与签署	=总数=22=合同签订21|关联交易6|增发2|
项目合同	=总数=27=合同签订27|
本次项目	=总数=7=债券发行1|未分类1|配股1|增发4|
股票回购	=总数=97=回购97|合同签订2|股权激励4|质押73|
 限制性股票回购	=总数=18=回购18|股权激励4|
股份购买	=总数=778=未分类3|合同签订3|股份减持1|关联交易167|增发772|资产重组62|兼并收购18|预增2|股份增持6|
激励完成	=总数=26=回购1|股权激励26|
过程对象	=总数=79=关联交易3|增发79|资产重组2|
非候选人	=总数=7=高管变动7|
投资资产	=总数=11=合同签订1|兼并收购9|股份增持1|
发行相关	=总数=34=未分类2|首发1|关联交易1|增发31|资产重组1|
 发行相关承诺	=总数=10=关联交易1|增发10|
  发行相关承诺事项	=总数=5=增发5|
 公开发行相关	=总数=25=首发1|未分类2|关联交易1|增发22|
  非公开发行相关	=总数=22=关联交易1|增发22|
   非公开发行相关事项	=总数=14=增发14|
  公开发行相关事项	=总数=15=未分类1|增发14|
 发行相关事项	=总数=20=未分类1|增发19|资产重组1|
发行项目	=总数=74=债券发行1|未分类8|增发65|兼并收购7|股份增持1|
转让股份	=总数=11=首发1|合同签订3|股份减持11|关联交易1|股份增持3|
公开情况	=总数=101=债券发行2|首发10|未分类8|合同签订1|股份减持2|关联交易1|增发79|资产重组1|
公司拟募	=总数=6=债券发行1|兼并收购4|股份增持1|
股权解押	=总数=10=质押10|
继续质押	=总数=6=质押6|
计划公司	=总数=6=股份减持1|股份增持5|
计划公告	=总数=19=未分类1|股份减持1|股权激励15|担保事项1|股份增持1|
子公司天	=总数=5=资产重组1|兼并收购2|股份增持1|担保事项1|
行动人之	=总数=13=合同签订1|兼并收购8|股份增持4|
 及其一致行动人之	=总数=7=兼并收购5|股份增持2|
临时董事	=总数=35=未分类5|高管变动10|资产重组3|质押1|回购1|债券发行2|合同签订5|股份减持1|配股1|关联交易6|兼并收购1|股份增持2|担保事项7|
挂牌转让	=总数=25=未分类1|合同签订1|股份减持24|
 挂牌转让股权	=总数=14=股份减持14|
公司独立	=总数=89=未分类7|合同签订1|股份减持1|高管变动22|违规违纪1|股权激励26|关联交易3|增发20|资产重组8|质押1|兼并收购8|预增1|
 公司之独立	=总数=56=未分类1|合同签订1|股权激励25|关联交易1|增发20|资产重组7|质押1|兼并收购8|预增1|
  公司资产之独立	=总数=23=合同签订1|增发19|资产重组4|质押1|兼并收购1|
 公司及独立	=总数=13=高管变动1|股权激励1|增发11|
