    公司激励计划授予事项	=总数=25=股权激励25|
    公司激励计划授予股票	=总数=8=股权激励8|
     公司激励计划授予股票期权	=总数=5=股权激励5|
   激励计划授予对象	=总数=16=股权激励16|
    股票激励计划授予对象	=总数=14=股权激励14|
     股票激励计划授予对象授予数量	=总数=5=股权激励5|
    激励计划授予对象数量	=总数=6=股权激励6|
    激励计划授予对象及数量	=总数=5=股权激励5|
    股票期权激励计划授予对象	=总数=10=股权激励10|
   激励计划授予完成	=总数=13=股权激励13|
    股票期权激励计划授予完成	=总数=8=股权激励8|
   股票激励计划授予	=总数=104=股权激励104|
    股票激励计划授予股票	=总数=18=股权激励18|
     公司股票激励计划授予股票	=总数=9=股权激励9|
    股票激励计划授予事项	=总数=54=股权激励54|
     公司股票激励计划授予事项	=总数=34=股权激励34|
      公司股票激励计划授予事项之法律意见书	=总数=5=股权激励5|
     限制性股票激励计划授予事项	=总数=33=股权激励33|
      公司限制性股票激励计划授予事项	=总数=27=股权激励27|
      股票期权与限制性股票激励计划授予事项	=总数=6=股权激励6|
       公司股票期权与限制性股票激励计划授予事项	=总数=5=股权激励5|
    股票激励计划授予数量	=总数=6=股权激励6|
    首期股票激励计划授予	=总数=10=股权激励10|
     公司首期股票激励计划授予	=总数=5=股权激励5|
    股票激励计划授予调整	=总数=7=股权激励7|
    公司股票激励计划授予	=总数=53=股权激励53|
     公司股票激励计划授予相关事项	=总数=15=股权激励15|
    股票与股票激励计划授予	=总数=5=股权激励5|
    限制性股票激励计划授予	=总数=42=股权激励42|
     年限制性股票激励计划授予	=总数=5=股权激励5|
     公司限制性股票激励计划授予	=总数=31=股权激励31|
      公司限制性股票激励计划授予相关事项	=总数=10=股权激励10|
     限制性股票激励计划授予相关事项	=总数=15=股权激励15|
    股票激励计划授予相关事项	=总数=28=股权激励28|
    股票激励计划授予激励对象名单	=总数=5=股权激励5|
   激励计划授予事项	=总数=57=股权激励57|
    股票期权激励计划授予事项	=总数=27=股权激励27|
     公司股票期权激励计划授予事项	=总数=17=股权激励17|
   首期激励计划授予	=总数=10=股权激励10|
   激励计划授予期权	=总数=32=股权激励32|
    激励计划授予期权注销	=总数=5=股权激励5|
    股权激励计划授予期权	=总数=9=股权激励9|
    激励计划授予期权某某权	=总数=8=股权激励8|
    股票期权激励计划授予期权	=总数=23=股权激励23|
     公司股票期权激励计划授予期权	=总数=8=股权激励8|
     股票期权激励计划授予期权数量	=总数=6=股权激励6|
      股票期权激励计划授予期权数量调整	=总数=5=股权激励5|
    激励计划授予期权某某行权期	=总数=9=股权激励9|
   激励计划授予股票	=总数=23=股权激励23|
    激励计划授予股票期权	=总数=20=股权激励20|
     股权激励计划授予股票期权	=总数=5=股权激励5|
     激励计划授予股票期权注销	=总数=8=股权激励8|
      股票期权激励计划授予股票期权注销	=总数=6=股权激励6|
     股票期权激励计划授予股票期权	=总数=15=股权激励15|
      公司股票期权激励计划授予股票期权	=总数=6=股权激励6|
      首期股票期权激励计划授予股票期权	=总数=5=股权激励5|
      股票期权激励计划授予股票期权某某行权期	=总数=6=股权激励6|
   激励计划授予名单	=总数=13=股权激励13|
    股票期权激励计划授予名单	=总数=11=股权激励11|
   股权激励计划授予	=总数=17=股权激励17|
   股票期权激励计划授予	=总数=69=股权激励69|
    公司股票期权激励计划授予	=总数=30=股权激励30|
     公司股票期权激励计划授予相关事项	=总数=9=股权激励9|
    首期股票期权激励计划授予	=总数=8=股权激励8|
    股票期权激励计划授予相关事项	=总数=16=股权激励16|
    股票期权激励计划授予激励对象名单	=总数=10=股权激励10|
   激励计划授予激励对象名单	=总数=12=股权激励12|
  股票计划授予	=总数=26=股权激励26|
   股票计划授予事项	=总数=12=股权激励12|
    公司股票计划授予事项	=总数=11=股权激励11|
   公司股票计划授予	=总数=20=股权激励20|
    公司股票计划授予相关事项	=总数=8=股权激励8|
   股票计划授予相关事项	=总数=10=股权激励10|
  计划授予事项	=总数=58=股权激励58|
   公司股票期权计划授予事项	=总数=8=股权激励8|
  股票期权计划授予	=总数=39=股权激励39|
   公司股票期权计划授予	=总数=20=股权激励20|
    公司股票期权计划授予相关事项	=总数=8=股权激励8|
   股票期权计划授予相关事项	=总数=12=股权激励12|
 授予事项	=总数=75=股权激励75|
  股票授予事项	=总数=56=股权激励56|
   公司股票授予事项	=总数=7=股权激励7|
   预留股票授予事项	=总数=13=股权激励13|
    公司股票激励计划预留股票授予事项	=总数=7=股权激励7|
    限制性股票激励计划预留股票授予事项	=总数=9=股权激励9|
     公司限制性股票激励计划预留股票授予事项	=总数=7=股权激励7|
   股票股票授予事项	=总数=5=股权激励5|
   限制性股票授予事项	=总数=39=股权激励39|
    预留限制性股票授予事项	=总数=8=股权激励8|
     限制性股票激励计划预留限制性股票授予事项	=总数=7=股权激励7|
      公司限制性股票激励计划预留限制性股票授予事项	=总数=6=股权激励6|
    公司限制性股票授予事项	=总数=18=股权激励18|
    股票限制性股票授予事项	=总数=9=股权激励9|
    激励计划限制性股票授予事项	=总数=9=股权激励9|
     限制性股票激励计划限制性股票授予事项	=总数=8=股权激励8|
      公司限制性股票激励计划限制性股票授予事项	=总数=7=股权激励7|
    股票期权与限制性股票授予事项	=总数=8=股权激励8|
   激励计划股票授予事项	=总数=23=股权激励23|
    股票激励计划股票授予事项	=总数=22=股权激励22|
     公司股票激励计划股票授予事项	=总数=10=股权激励10|
     限制性股票激励计划股票授予事项	=总数=13=股权激励13|
      公司限制性股票激励计划股票授予事项	=总数=11=股权激励11|
   股票期权股票授予事项	=总数=8=股权激励8|
   股票激励计划所涉股票授予事项	=总数=5=股权激励5|
  激励授予事项	=总数=38=股权激励38|
   公司激励授予事项	=总数=12=股权激励12|
  首次授予事项	=总数=23=股权激励23|
   计划首次授予事项	=总数=19=股权激励19|
    激励计划首次授予事项	=总数=18=股权激励18|
     股票激励计划首次授予事项	=总数=16=股权激励16|
      公司股票激励计划首次授予事项	=总数=7=股权激励7|
      限制性股票激励计划首次授予事项	=总数=8=股权激励8|
       公司限制性股票激励计划首次授予事项	=总数=6=股权激励6|
     公司激励计划首次授予事项	=总数=7=股权激励7|
     股票期权激励计划首次授予事项	=总数=6=股权激励6|
    公司股票计划首次授予事项	=总数=5=股权激励5|
    股票期权计划首次授予事项	=总数=5=股权激励5|
   调整及首次授予事项	=总数=5=股权激励5|
   股票期权激励计划所股票期权首次授予事项	=总数=5=股权激励5|
  股票激励计划预留授予事项	=总数=15=股权激励15|
   公司股票激励计划预留授予事项	=总数=13=股权激励13|
   限制性股票激励计划预留授予事项	=总数=10=股权激励10|
    公司限制性股票激励计划预留授予事项	=总数=8=股权激励8|
 授予股票	=总数=80=回购7|未分类1|股权激励72|
  授予股票期权	=总数=35=股权激励35|
   公司授予股票期权	=总数=10=股权激励10|
   激励授予股票期权	=总数=30=股权激励30|
    激励授予股票期权股票	=总数=13=股权激励13|
   激励对象授予股票期权	=总数=11=股权激励11|
    向激励对象授予股票期权	=总数=8=股权激励8|
     向激励对象授予股票期权限制性股票	=总数=7=股权激励7|
     向激励对象授予股票期权与限制性股票	=总数=5=股权激励5|
    激励对象授予股票期权限制性股票	=总数=9=股权激励9|
    激励对象授予股票期权与限制性股票	=总数=7=股权激励7|
   激励计划首次授予股票期权	=总数=10=股权激励10|
    公司激励计划首次授予股票期权	=总数=5=股权激励5|
    股票期权激励计划首次授予股票期权	=总数=8=股权激励8|
    激励计划首次授予股票期权某某行权期	=总数=5=股权激励5|
  注销授予股票	=总数=8=回购4|股权激励4|
  公司授予股票	=总数=16=回购1|股权激励15|
  激励授予股票	=总数=64=回购1|股权激励63|
   激励授予股票股票	=总数=6=股权激励6|
   股权激励授予股票	=总数=7=回购1|股权激励6|
   激励授予股票事项	=总数=10=股权激励10|
   公司激励授予股票	=总数=17=股权激励17|
   激励授予股票注销	=总数=6=回购1|股权激励5|
   股票激励授予股票	=总数=13=股权激励13|
    公司股票激励授予股票	=总数=6=股权激励6|
  授予股票事项	=总数=14=股权激励14|
  授予股票相关事项	=总数=7=股权激励7|
   向激励对象授予股票相关事项	=总数=5=股权激励5|
  激励对象授予股票	=总数=41=股权激励41|
   向激励对象授予股票	=总数=28=股权激励28|
    向激励对象授予股票股票	=总数=6=股权激励6|
    向激励对象授予股票限制性股票	=总数=6=股权激励6|
   激励对象授予股票股票	=总数=8=股权激励8|
   激励对象授予股票限制性股票	=总数=8=股权激励8|
 激励授予	=总数=173=回购1|股权激励172|
  向激励授予	=总数=27=股权激励27|
  激励授予激励	=总数=9=股权激励9|
  股票激励授予	=总数=111=股权激励111|
   股票激励授予数量	=总数=6=股权激励6|
   股票激励授予名单	=总数=14=股权激励14|
   公司股票激励授予	=总数=35=股权激励35|
   限制性股票激励授予	=总数=46=股权激励46|
    公司限制性股票激励授予	=总数=20=股权激励20|
    调整限制性股票激励授予	=总数=5=股权激励5|
   公司股票期权股票激励授予	=总数=5=股权激励5|
  激励授予名单	=总数=15=股权激励15|
  激励授予完成	=总数=9=回购1|股权激励8|
   股权激励授予完成	=总数=5=回购1|股权激励4|
  激励授予预留	=总数=13=股权激励13|
  股权激励授予	=总数=23=回购1|股权激励22|
  公司激励授予	=总数=50=股权激励50|
   公司激励授予相关事项	=总数=11=股权激励11|
  激励授予期权	=总数=41=股权激励41|
   股票期权激励授予期权	=总数=16=股权激励16|
  激励授予数量	=总数=9=股权激励9|
  激励授予相关事项	=总数=25=股权激励25|
  股票期权激励授予	=总数=57=股权激励57|
   公司股票期权激励授予	=总数=26=股权激励26|
  激励授予限制性股票	=总数=43=回购1|股权激励42|
   激励授予限制性股票事项	=总数=7=股权激励7|
  激励授予之法律意见书	=总数=6=股权激励6|
 授予名单	=总数=17=股权激励17|
 授予对象	=总数=18=股权激励18|
  授予对象名单	=总数=14=股权激励14|
   首次授予对象名单	=总数=9=股权激励9|
 授予数量	=总数=32=回购2|未分类1|股权激励29|
  调整授予数量	=总数=5=回购2|股权激励3|
  股票授予数量	=总数=29=回购2|未分类1|股权激励26|
   股票授予数量价格	=总数=5=回购2|未分类1|股权激励2|
   调整股票授予数量	=总数=11=回购2|股权激励9|
    调整股票授予数量及	=总数=5=回购2|股权激励3|
   股票授予数量调整	=总数=9=股权激励9|
   限制性股票授予数量	=总数=14=股权激励14|
    调整限制性股票授予数量	=总数=8=股权激励8|
  股票激励对象授予数量	=总数=13=股权激励13|
   调整股票激励对象授予数量	=总数=6=股权激励6|
   调整限制性股票激励对象授予数量	=总数=7=股权激励7|
  股票激励计划对象授予数量	=总数=9=股权激励9|
   限制性股票激励计划对象授予数量	=总数=6=股权激励6|
  股票激励对象名单授予数量	=总数=12=股权激励12|
   限制性股票激励对象名单授予数量	=总数=9=股权激励9|
    调整限制性股票激励对象名单授予数量	=总数=7=股权激励7|
  调整激励对象名单授予数量	=总数=6=股权激励6|
  股票激励计划激励对象名单授予数量	=总数=9=股权激励9|
   限制性股票激励计划激励对象名单授予数量	=总数=6=股权激励6|
 公司授予	=总数=57=回购1|未分类2|股权激励54|
  某公司授予	=总数=7=未分类2|股权激励5|
