平安银行股份有限公司	平安银行
吉林敖东药业集团股份有限公司	吉林敖东
重庆长安汽车股份有限公司	长安汽车
重庆长安汽车股份有限公司	长安汽车
连云港如意集团股份有限公司	如意集团
天茂实业集团股份有限公司	天茂集团
成都高新发展股份有限公司	高新发展
攀钢集团钒钛资源股份有限公司	NULL
铜陵有色金属集团股份有限公司	铜陵有色
顺发恒业股份公司	顺发恒业
福建三木集团股份有限公司	三木集团
沈阳合金投资股份有限公司	合金投资
宁夏英力特化工股份有限公司	英力特
广东风华高新科技股份有限公司	风华高科
茂名石化实华股份有限公司	茂化实华
万方城镇投资发展股份有限公司	万方发展
西王食品股份有限公司	西王食品
仁和药业股份有限公司	仁和药业
珠海格力电器股份有限公司	格力电器
天津泰达股份有限公司	泰达股份
山东金岭矿业股份有限公司	金岭矿业
金科地产集团股份有限公司	金科股份
中钨高新材料股份有限公司	中钨高新
珠海中富实业股份有限公司	珠海中富
长春高新技术产业(集团)股份有限公司	长春高新
索芙特股份有限公司	索芙特
福建省永安林业(集团)股份有限公司	永安林业
湖北省广播电视信息网络股份有限公司	湖北广电
经纬纺织机械股份有限公司	经纬纺机
名流置业集团股份有限公司	名流置业
荣丰控股集团股份有限公司	荣丰控股
中油金鸿能源投资股份有限公司	金鸿能源
舜元实业发展股份有限公司	NULL
阳光城集团股份有限公司	阳光城
甘肃上峰水泥股份有限公司	上峰水泥
当代东方投资股份有限公司	当代东方
河南思达高科技股份有限公司	思达高科
恒天海龙股份有限公司	恒天海龙
襄阳汽车轴承股份有限公司	襄阳轴承
大连友谊(集团)股份有限公司	大连友谊
山推工程机械股份有限公司	山推股份
远东实业股份有限公司	远东股份
东方电子股份有限公司	东方电子
内蒙古远兴能源股份有限公司	远兴能源
中山公用事业集团股份有限公司	中山公用
东北证券股份有限公司	东北证券
恒天天鹅股份有限公司	恒天天鹅
建新矿业股份有限责任公司	建新矿业
广东宝丽华新能源股份有限公司	宝新能源
海南亚太实业发展股份有限公司	亚太实业
沈阳惠天热电股份有限公司	惠天热电
成都华泽钴镍材料股份有限公司	华泽钴镍
天津滨海能源发展股份有限公司	滨海能源
重庆宗申动力机械股份有限公司	宗申动力
陕西炼石有色资源股份有限公司	炼石有色
沈阳化工股份有限公司	沈阳化工
江南模塑科技股份有限公司	模塑科技
厦门信达股份有限公司	厦门信达
湖南正虹科技发展股份有限公司	正虹科技
恒逸石化股份有限公司	恒逸石化
浙江震元股份有限公司	浙江震元
湖北双环科技股份有限公司	双环科技
大冶特殊钢股份有限公司	大冶特钢
河北钢铁股份有限公司	河北钢铁
成都天兴仪表股份有限公司	天兴仪表
黑龙江天伦置业股份有限公司	天伦置业
广东锦龙发展股份有限公司	锦龙股份
合肥丰乐种业股份有限公司	丰乐种业
中兴-沈阳商业大厦(集团)股份有限公司	中兴商业
南方黑芝麻集团股份有限公司	南方食品
广东韶钢松山股份有限公司	韶钢松山
苏宁环球股份有限公司	苏宁环球
中原大地传媒股份有限公司	大地传媒
山东新能泰山发电股份有限公司	新能泰山
西安饮食股份有限公司	西安饮食
湖南发展集团股份有限公司	湖南发展
山西美锦能源股份有限公司	美锦能源
京东方科技集团股份有限公司	京东方Ａ
京东方科技集团股份有限公司	京东方Ａ
鲁泰纺织股份有限公司	鲁泰Ａ
鲁泰纺织股份有限公司	鲁泰Ａ
南京华东电子信息科技股份有限公司	华东科技
国元证券股份有限公司	国元证券
北京燕京啤酒股份有限公司	燕京啤酒
四川美丰化工股份有限公司	四川美丰
泰禾集团股份有限公司	泰禾集团
中国振华(集团)科技股份有限公司	振华科技
罗牛山股份有限公司	罗牛山
中房地产股份有限公司	中房地产
南风化工集团股份有限公司	南风化工
中航动力控制股份有限公司	中航动控
普洛药业股份有限公司	普洛药业
长城信息产业股份有限公司	长城信息
国海证券股份有限公司	国海证券
葫芦岛锌业股份有限公司	锌业股份
西藏银河科技发展股份有限公司	西藏发展
福建漳州发展股份有限公司	漳州发展
山西三维集团股份有限公司	山西三维
山东新华制药股份有限公司	新华制药
四川浩物机电股份有限公司	浩物机电
中国有色金属建设股份有限公司	中色股份
中百控股集团股份有限公司	中百集团
湖北博盈投资股份有限公司	博盈投资
本钢板材股份有限公司	本钢板材
本钢板材股份有限公司	本钢板材
西藏矿业发展股份有限公司	西藏矿业
锦州石化股份有限公司	锦州石化
通化金马药业集团股份有限公司	通化金马
山西漳泽电力股份有限公司	漳泽电力
中航飞机股份有限公司	中航飞机
广发证券股份有限公司	广发证券
中核苏阀科技实业股份有限公司	中核科技
新兴铸管股份有限公司	新兴铸管
兰州三毛实业股份有限公司	三毛派神
内蒙古平庄能源股份有限公司	平庄能源
广东新会美达锦纶股份有限公司	美达股份
长江证券股份有限公司	长江证券
武汉中商集团股份有限公司	武汉中商
北新集团建材股份有限公司	北新建材
北大医药股份有限公司	NULL
江西万年青水泥股份有限公司	江西水泥
成都华神集团股份有限公司	华神集团
甘肃电投能源发展股份有限公司	甘肃电投
青海盐湖工业股份有限公司	盐湖股份
华闻传媒投资集团股份有限公司	华闻传媒
太原双塔刚玉股份有限公司	太原刚玉
易食集团股份有限公司	易食股份
中国武夷实业股份有限公司	中国武夷
